sim_time, my_robot/cart?world_linear_velocity/x
6.901, -2.43913e-08
6.902, -2.44598e-08
6.903, -2.4557e-08
6.904, -2.45819e-08
6.905, -2.45786e-08
6.906, -2.46474e-08
6.907, -2.4745e-08
6.908, -2.47702e-08
6.909, -2.47673e-08
6.91, -2.48365e-08
6.911, -2.49344e-08
6.912, -2.496e-08
6.913, -2.49574e-08
6.914, -2.5027e-08
6.915, -2.51253e-08
6.916, -2.51513e-08
6.917, -2.5149e-08
6.918, -2.5219e-08
6.919, -2.53176e-08
6.92, -2.5344e-08
6.921, -2.53421e-08
6.922, -2.54124e-08
6.923, -2.55114e-08
6.924, -2.55382e-08
6.925, -2.55367e-08
6.926, -2.56073e-08
6.927, -2.57067e-08
6.928, -2.57338e-08
6.929, -2.57327e-08
6.93, -2.58037e-08
6.931, -2.59035e-08
6.932, -2.5931e-08
6.933, -2.59302e-08
6.934, -2.60017e-08
6.935, -2.61018e-08
6.936, -2.61297e-08
6.937, -2.61293e-08
6.938, -2.62011e-08
6.939, -2.63016e-08
6.94, -2.63299e-08
6.941, -2.63299e-08
6.942, -2.64021e-08
6.943, -2.65029e-08
6.944, -2.65316e-08
6.945, -2.6532e-08
6.946, -2.66046e-08
6.947, -2.67058e-08
6.948, -2.67349e-08
6.949, -2.67357e-08
6.95, -2.68086e-08
6.951, -2.69103e-08
6.952, -2.69397e-08
6.953, -2.69409e-08
6.954, -2.70142e-08
6.955, -2.71163e-08
6.956, -2.71461e-08
6.957, -2.71477e-08
6.958, -2.72214e-08
6.959, -2.73239e-08
6.96, -2.73541e-08
6.961, -2.7356e-08
6.962, -2.74302e-08
6.963, -2.7533e-08
6.964, -2.75636e-08
6.965, -2.7566e-08
6.966, -2.76405e-08
6.967, -2.77438e-08
6.968, -2.77748e-08
6.969, -2.77776e-08
6.97, -2.78525e-08
6.971, -2.79562e-08
6.972, -2.79876e-08
6.973, -2.79908e-08
6.974, -2.80661e-08
6.975, -2.81702e-08
6.976, -2.8202e-08
6.977, -2.82056e-08
6.978, -2.82813e-08
6.979, -2.83858e-08
6.98, -2.84181e-08
6.981, -2.84221e-08
6.982, -2.84982e-08
6.983, -2.86031e-08
6.984, -2.86358e-08
6.985, -2.86402e-08
6.986, -2.87168e-08
6.987, -2.88221e-08
6.988, -2.88552e-08
6.989, -2.886e-08
6.99, -2.8937e-08
6.991, -2.90427e-08
6.992, -2.90762e-08
6.993, -2.90815e-08
6.994, -2.91589e-08
6.995, -2.92651e-08
6.996, -2.9299e-08
6.997, -2.93047e-08
6.998, -2.93825e-08
6.999, -2.94891e-08
7, -2.95234e-08
7.001, -2.95296e-08
7.002, -2.96078e-08
7.003, -2.97148e-08
7.004, -2.97496e-08
7.005, -2.97562e-08
7.006, -2.98349e-08
7.007, -2.99423e-08
7.008, -2.99775e-08
7.009, -2.99845e-08
7.01, -3.00636e-08
7.011, -3.01715e-08
7.012, -3.02072e-08
7.013, -3.02146e-08
7.014, -3.02942e-08
7.015, -3.04025e-08
7.016, -3.04386e-08
7.017, -3.04464e-08
7.018, -3.05265e-08
7.019, -3.06352e-08
7.02, -3.06718e-08
7.021, -3.06801e-08
7.022, -3.07606e-08
7.023, -3.08698e-08
7.024, -3.09067e-08
7.025, -3.09155e-08
7.026, -3.09964e-08
7.027, -3.11061e-08
7.028, -3.11435e-08
7.029, -3.11527e-08
7.03, -3.12341e-08
7.031, -3.13442e-08
7.032, -3.13821e-08
7.033, -3.13917e-08
7.034, -3.14736e-08
7.035, -3.15841e-08
7.036, -3.16225e-08
7.037, -3.16326e-08
7.038, -3.17149e-08
7.039, -3.18259e-08
7.04, -3.18647e-08
7.041, -3.18753e-08
7.042, -3.19581e-08
7.043, -3.20696e-08
7.044, -3.21088e-08
7.045, -3.21199e-08
7.046, -3.22031e-08
7.047, -3.23151e-08
7.048, -3.23548e-08
7.049, -3.23663e-08
7.05, -3.245e-08
7.051, -3.25624e-08
7.052, -3.26026e-08
7.053, -3.26146e-08
7.054, -3.26988e-08
7.055, -3.28117e-08
7.056, -3.28524e-08
7.057, -3.28649e-08
7.058, -3.29495e-08
7.059, -3.30629e-08
7.06, -3.31041e-08
7.061, -3.3117e-08
7.062, -3.32021e-08
7.063, -3.3316e-08
7.064, -3.33577e-08
7.065, -3.33711e-08
